feature,importance_mean,importance_std
item_5817_mean,3.6055318758942967e-06,6.837185809266434e-06
item_8547_max,2.0724267587701737e-06,3.132895527317217e-05
item_220052_count,8.709887368119063e-07,2.830529343380496e-06
item_223761_last,8.620649437185435e-07,1.909349480352417e-05
item_220180_last,2.380853036165753e-07,1.88671704009651e-05
missingindicator_item_492_last,0.0,0.0
missingindicator_item_492_std,0.0,0.0
missingindicator_item_492_mean,0.0,0.0
missingindicator_item_834_count,0.0,0.0
missingindicator_item_220050_count,0.0,0.0
missingindicator_item_492_min,0.0,0.0
missingindicator_item_220181_mean,0.0,0.0
missingindicator_item_834_std,0.0,0.0
missingindicator_item_220050_max,0.0,0.0
missingindicator_item_492_max,0.0,0.0
missingindicator_item_492_count,0.0,0.0
missingindicator_item_220050_min,0.0,0.0
missingindicator_item_220181_min,0.0,0.0
item_5813_mean,0.0,0.0
missingindicator_item_220051_count,0.0,0.0
missingindicator_item_220051_last,0.0,0.0
missingindicator_item_220179_mean,0.0,0.0
missingindicator_item_834_max,0.0,0.0
missingindicator_item_220181_count,0.0,0.0
missingindicator_item_220181_std,0.0,0.0
missingindicator_item_834_min,0.0,0.0
missingindicator_item_220181_max,0.0,0.0
missingindicator_item_220181_last,0.0,0.0
missingindicator_item_646_max,0.0,0.0
missingindicator_item_678_last,0.0,0.0
missingindicator_item_456_count,0.0,0.0
missingindicator_item_646_count,0.0,0.0
missingindicator_item_646_min,0.0,0.0
missingindicator_item_646_last,0.0,0.0
missingindicator_item_456_mean,0.0,0.0
missingindicator_item_646_mean,0.0,0.0
missingindicator_item_456_min,0.0,0.0
missingindicator_item_220051_max,0.0,0.0
missingindicator_item_8547_last,0.0,0.0
missingindicator_item_456_max,0.0,0.0
missingindicator_item_220051_std,0.0,0.0
missingindicator_item_220051_min,0.0,0.0
missingindicator_item_220051_mean,0.0,0.0
missingindicator_item_456_std,0.0,0.0
missingindicator_item_220052_last,0.0,0.0
missingindicator_item_220050_last,0.0,0.0
missingindicator_item_220052_count,0.0,0.0
missingindicator_item_456_last,0.0,0.0
missingindicator_item_678_mean,0.0,0.0
missingindicator_item_220052_std,0.0,0.0
missingindicator_item_678_min,0.0,0.0
missingindicator_item_220052_max,0.0,0.0
missingindicator_item_8547_count,0.0,0.0
missingindicator_item_678_max,0.0,0.0
missingindicator_item_834_last,0.0,0.0
missingindicator_item_8547_std,0.0,0.0
missingindicator_item_220052_min,0.0,0.0
missingindicator_item_678_count,0.0,0.0
missingindicator_item_646_std,0.0,0.0
missingindicator_item_8547_max,0.0,0.0
missingindicator_item_224168_std,0.0,0.0
missingindicator_item_224168_mean,0.0,0.0
missingindicator_item_223761_last,0.0,0.0
missingindicator_item_223761_mean,0.0,0.0
missingindicator_item_223761_min,0.0,0.0
missingindicator_item_223761_max,0.0,0.0
missingindicator_item_223901_mean,0.0,0.0
missingindicator_item_223761_std,0.0,0.0
missingindicator_item_223761_count,0.0,0.0
missingindicator_item_220739_last,0.0,0.0
missingindicator_item_220210_mean,0.0,0.0
missingindicator_item_220045_mean,0.0,0.0
missingindicator_item_220045_min,0.0,0.0
missingindicator_item_220045_max,0.0,0.0
missingindicator_item_220045_std,0.0,0.0
missingindicator_item_220045_count,0.0,0.0
missingindicator_item_220739_count,0.0,0.0
missingindicator_item_220277_last,0.0,0.0
missingindicator_item_223901_min,0.0,0.0
missingindicator_item_223901_max,0.0,0.0
missingindicator_item_223901_std,0.0,0.0
missingindicator_item_223901_count,0.0,0.0
missingindicator_item_223901_last,0.0,0.0
missingindicator_item_223900_mean,0.0,0.0
missingindicator_item_223900_min,0.0,0.0
missingindicator_item_220277_count,0.0,0.0
missingindicator_item_223900_max,0.0,0.0
missingindicator_item_223900_std,0.0,0.0
missingindicator_item_223900_count,0.0,0.0
missingindicator_item_223900_last,0.0,0.0
missingindicator_item_220277_std,0.0,0.0
missingindicator_item_220277_mean,0.0,0.0
missingindicator_item_220277_max,0.0,0.0
missingindicator_item_220179_max,0.0,0.0
missingindicator_item_220045_last,0.0,0.0
missingindicator_item_220739_std,0.0,0.0
missingindicator_item_220180_last,0.0,0.0
missingindicator_item_220180_max,0.0,0.0
missingindicator_item_220074_last,0.0,0.0
missingindicator_item_224641_max,0.0,0.0
missingindicator_item_224641_min,0.0,0.0
missingindicator_item_224641_mean,0.0,0.0
missingindicator_item_220180_mean,0.0,0.0
missingindicator_item_220180_min,0.0,0.0
missingindicator_item_220180_std,0.0,0.0
missingindicator_item_220739_max,0.0,0.0
missingindicator_item_224168_last,0.0,0.0
missingindicator_item_224168_count,0.0,0.0
missingindicator_item_220277_min,0.0,0.0
missingindicator_item_220180_count,0.0,0.0
missingindicator_item_224168_max,0.0,0.0
missingindicator_item_224168_min,0.0,0.0
missingindicator_item_224641_std,0.0,0.0
missingindicator_item_220074_count,0.0,0.0
missingindicator_item_220074_max,0.0,0.0
missingindicator_item_224641_count,0.0,0.0
missingindicator_item_220074_min,0.0,0.0
missingindicator_item_224641_last,0.0,0.0
missingindicator_item_220210_last,0.0,0.0
missingindicator_item_811_min,0.0,0.0
missingindicator_item_811_max,0.0,0.0
missingindicator_item_220210_count,0.0,0.0
missingindicator_item_220210_std,0.0,0.0
missingindicator_item_220210_max,0.0,0.0
missingindicator_item_811_count,0.0,0.0
missingindicator_item_220210_min,0.0,0.0
missingindicator_item_811_last,0.0,0.0
missingindicator_item_220739_mean,0.0,0.0
missingindicator_item_220739_min,0.0,0.0
missingindicator_item_220179_min,0.0,0.0
missingindicator_item_454_min,0.0,0.0
missingindicator_item_220179_std,0.0,0.0
RELIGION_UNITARIAN-UNIVERSALIST,0.0,0.0
RELIGION_JEWISH,0.0,0.0
RELIGION_LUTHERAN,0.0,0.0
RELIGION_METHODIST,0.0,0.0
RELIGION_MUSLIM,0.0,0.0
RELIGION_OTHER,0.0,0.0
RELIGION_ROMANIAN EAST. ORTH,0.0,0.0
RELIGION_UNKNOWN,0.0,0.0
ETHNICITY_ASIAN - ASIAN INDIAN,0.0,0.0
MARITAL_STATUS_DIVORCED,0.0,0.0
MARITAL_STATUS_LIFE PARTNER,0.0,0.0
MARITAL_STATUS_SEPARATED,0.0,0.0
MARITAL_STATUS_UNKNOWN (DEFAULT),0.0,0.0
MARITAL_STATUS_WIDOWED,0.0,0.0
ETHNICITY_AMERICAN INDIAN/ALASKA NATIVE,0.0,0.0
RELIGION_JEHOVAH'S WITNESS,0.0,0.0
RELIGION_HINDU,0.0,0.0
RELIGION_HEBREW,0.0,0.0
RELIGION_GREEK ORTHODOX,0.0,0.0
RELIGION_EPISCOPALIAN,0.0,0.0
RELIGION_CHRISTIAN SCIENTIST,0.0,0.0
RELIGION_BUDDHIST,0.0,0.0
RELIGION_BAPTIST,0.0,0.0
RELIGION_7TH DAY ADVENTIST,0.0,0.0
LANGUAGE_VIET,0.0,0.0
LANGUAGE_URDU,0.0,0.0
LANGUAGE_TURK,0.0,0.0
LANGUAGE_THAI,0.0,0.0
LANGUAGE_TAGA,0.0,0.0
LANGUAGE_SPAN,0.0,0.0
LANGUAGE_SOMA,0.0,0.0
LANGUAGE_SERB,0.0,0.0
ETHNICITY_ASIAN,0.0,0.0
ETHNICITY_ASIAN - CAMBODIAN,0.0,0.0
LANGUAGE_PTUN,0.0,0.0
ETHNICITY_OTHER,0.0,0.0
ETHNICITY_HISPANIC/LATINO - MEXICAN,0.0,0.0
ETHNICITY_HISPANIC/LATINO - PUERTO RICAN,0.0,0.0
ETHNICITY_HISPANIC/LATINO - SALVADORAN,0.0,0.0
ETHNICITY_MIDDLE EASTERN,0.0,0.0
ETHNICITY_MULTI RACE ETHNICITY,0.0,0.0
ETHNICITY_NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,0.0,0.0
ETHNICITY_PORTUGUESE,0.0,0.0
ETHNICITY_ASIAN - CHINESE,0.0,0.0
ETHNICITY_SOUTH AMERICAN,0.0,0.0
ETHNICITY_UNABLE TO OBTAIN,0.0,0.0
ETHNICITY_UNKNOWN/NOT SPECIFIED,0.0,0.0
ETHNICITY_WHITE - BRAZILIAN,0.0,0.0
ETHNICITY_WHITE - EASTERN EUROPEAN,0.0,0.0
ETHNICITY_WHITE - OTHER EUROPEAN,0.0,0.0
ETHNICITY_HISPANIC/LATINO - HONDURAN,0.0,0.0
ETHNICITY_HISPANIC/LATINO - GUATEMALAN,0.0,0.0
ETHNICITY_HISPANIC/LATINO - DOMINICAN,0.0,0.0
ETHNICITY_HISPANIC/LATINO - CUBAN,0.0,0.0
ETHNICITY_HISPANIC/LATINO - COLOMBIAN,0.0,0.0
ETHNICITY_HISPANIC/LATINO - CENTRAL AMERICAN (OTHER),0.0,0.0
ETHNICITY_HISPANIC OR LATINO,0.0,0.0
ETHNICITY_CARIBBEAN ISLAND,0.0,0.0
ETHNICITY_BLACK/HAITIAN,0.0,0.0
ETHNICITY_BLACK/CAPE VERDEAN,0.0,0.0
ETHNICITY_BLACK/AFRICAN,0.0,0.0
ETHNICITY_ASIAN - VIETNAMESE,0.0,0.0
ETHNICITY_ASIAN - THAI,0.0,0.0
